inicio;fim;minutos;digest_escrito
2026-08-05 13:33;13:44;10.5;False
2026-08-05 21:01;21:04;2.8;False
2026-08-05 22:00;22:10;9.9;True
2026-08-05 22:15;22:23;7.5;True
2026-08-06 12:22;12:33;11.3;False
2026-08-06 13:15;13:23;8.1;True
2026-08-07 13:10;13:18;8.5;True
2026-08-07 13:20;13:21;1.4;True
2026-08-08 13:20;13:27;7.6;True
2026-08-08 17:40;17:44;4.3;True
2026-08-09 20:16;20:27;10.7;True
2026-08-10 13:20;13:20;0.2;False
2026-08-11 13:20;13:20;0.1;False
2026-08-12 13:20;13:38;18.3;False
2026-08-13 13:20;13:23;3.9;False
2026-08-13 15:50;15:58;8.1;False
2026-08-13 20:42;20:52;10.1;True
2026-08-14 14:23;14:36;12.4;True
2026-08-15 12:03;12:04;1.5;False
2026-08-15 14:20;14:32;12.5;True
2026-08-15 19:47;19:51;4.2;True
2026-08-18 13:20;13:20;0.4;False
2026-08-19 13:20;13:29;9.3;True
2026-08-20 13:20;13:20;0.5;False
