data;hora;motivo
2026-08-21;18:17;cota - session limit
2026-08-21;18:22;pulou - ja existe pesquisa em execucao (log bloqueado)
2026-08-21;18:25;desconhecido - ver ultima-execucao.log
2026-08-22;10:20;ok
2026-08-24;13:37;desconhecido - ver ultima-execucao.log
2026-08-26;13:45;cota - session limit
2026-08-27;13:37;cota - session limit
2026-08-31;13:45;cota - session limit
2026-09-01;13:37;desconhecido - ver ultima-execucao.log
2026-09-02;13:52;ok
2026-09-02;18:10;pulou - digest do dia ja existe
2026-09-03;13:55;ok
2026-09-04;13:54;ok
2026-09-05;13:43;desconhecido - ver ultima-execucao.log
2026-09-05;18:21;ok
2026-09-06;13:54;ok
